from,times,to
Гарри Поттер,2602.0,Северус Снейп
Гермиона Грейнджер,6658.0,Драко Малфой
Блейз Забини,47.0,Дафна Гринграсс
Джинни Уизли,1.0,Том Реддл-ст.
Альбус Дамблдор,293.0,Геллерт Гриндельвальд
Гарри Поттер,6251.0,Драко Малфой
Лили Поттер,446.0,Северус Снейп
ОЖП,97.0,Ремус Люпин
ОЖП,237.0,Сириус Блэк III
Джеймс Поттер,981.0,Лили Поттер
Джеймс Поттер,21.0,ОЖП
Гарри Поттер,1252.0,Том Марволо Реддл
 Гермиона Грейнджер,77.0,Драко Малфой 
Грета,1.0,Дэрил
Габриэлла Поттер,1.0,Драко Малфой
Альбус Дамблдор,272.0,Геллерт Гриндевальд
Гарри Поттер,148.0,Дафна Гринграсс
Гермиона Грейнджер,1259.0,Рон Уизли
Гермиона Грейнджер,626.0,Фред Уизли
Гермиона Грейнджер,7.0,Кормак Маклагген
Гермиона Грейнджер,87.0,ОМП
Анджелина Джонсон,48.0,Фред Уизли
Гермиона Грейнджер,221.0,Панси Паркинсон
Блейз Забини,106.0,Рон Уизли
Луна Лавгуд,110.0,Невилл Лонгботтом
Панси Паркинсон,54.0,Рон Уизли
Том Марволо Реддл,5.0,Эйлин Принц
Абраксас Малфой,1.0,Флимонт Поттер
Артур Пендрагон,16.0,Мерлин
Абраксас Малфой,3.0,Северус Снейп
Северус Снейп,59.0,Том Марволо Реддл
Гарри Поттер,1427.0,Гермиона Грейнджер
Джинни Уизли,211.0,Драко Малфой
Беллатриса Лестрейндж,60.0,Гарри Поттер
Азирафаэль,28.0,Кроули
Киллиан Джонс,2.0,Эмма Свон
Алиса Лонгботтом,69.0,Фрэнк Лонгботтом
Нарцисса Малфой,25.0,Северус Снейп
Нимфадора Тонкс,338.0,Ремус Люпин
Реджина Миллс,4.0,Сириус Блэк
Пандора Лавгуд,1.0,Регулус Блэк
Гарри Поттер,209.0,ОЖП
Драко Малфой,195.0,Рон Уизли
ОЖП,459.0,Северус Снейп
Ким Тэхён,9.0,Мин Юнги
Ким Намджун,24.0,Ким Сокджин
Пак Чимин,1.0,Чон Хосок
Ремус Люпин,349.0,Сириус Блэк III
Люциус Малфой,27.0,Том Марволо Реддл
Дельфини,1.0,Люси Роуз
Дельфини,1.0,Рэйстлин Певерелл
