Genre,Rating,from,times,to
ic_slash,NC-17,Гарри Поттер,979.0,Северус Снейп
ic_other,NC-17,Гермиона Грейнджер,1.0,Драко Малфой
ic_other,NC-17,Блейз Забини,1.0,Дафна Гринграсс
ic_other,NC-17,Джинни Уизли,1.0,Том Реддл-ст.
ic_slash,PG-13,Альбус Дамблдор,117.0,Геллерт Гриндельвальд
ic_slash,NC-17,Гарри Поттер,1716.0,Драко Малфой
ic_slash,R,Гарри Поттер,611.0,Северус Снейп
ic_slash,R,Лили Поттер,5.0,Северус Снейп
ic_het,R,Гермиона Грейнджер,1458.0,Драко Малфой
ic_het,PG-13,ОЖП,41.0,Ремус Люпин
ic_het,PG-13,ОЖП,67.0,Сириус Блэк III
ic_het,PG-13,Джеймс Поттер,284.0,Лили Поттер
ic_het,PG-13,Джеймс Поттер,8.0,ОЖП
ic_slash,PG-13,Гарри Поттер,324.0,Том Марволо Реддл
ic_het,R, Гермиона Грейнджер,16.0,Драко Малфой 
ic_femslash,PG-13,Грета,1.0,Дэрил
ic_gen,R,Гермиона Грейнджер,70.0,Драко Малфой
ic_het,PG-13,Габриэлла Поттер,1.0,Драко Малфой
ic_slash,PG-13,Гарри Поттер,2216.0,Драко Малфой
ic_het,R,ОЖП,70.0,Сириус Блэк III
ic_slash,PG-13,Альбус Дамблдор,112.0,Геллерт Гриндевальд
ic_gen,PG-13,Гарри Поттер,12.0,Дафна Гринграсс
ic_gen,PG-13,Гермиона Грейнджер,89.0,Рон Уизли
ic_slash,R,Гарри Поттер,352.0,Том Марволо Реддл
ic_het,PG-13,Гермиона Грейнджер,345.0,Фред Уизли
ic_het,PG-13,Гермиона Грейнджер,3.0,Кормак Маклагген
ic_het,PG-13,Гермиона Грейнджер,19.0,ОМП
ic_het,PG-13,Анджелина Джонсон,15.0,Фред Уизли
ic_slash,NC-17,Гермиона Грейнджер,21.0,Панси Паркинсон
ic_slash,NC-17,Блейз Забини,31.0,Рон Уизли
ic_het,PG-13,Гермиона Грейнджер,2173.0,Драко Малфой
ic_het,NC-17,Луна Лавгуд,12.0,Невилл Лонгботтом
ic_het,NC-17,Гермиона Грейнджер,1420.0,Драко Малфой
ic_het,NC-17,Панси Паркинсон,11.0,Рон Уизли
